,Unnamed: 0,GEO_ID,NAME,County,POPUNI,PRED0_E,PRED12_E,PRED3_E,Total_Population_E,Cases,Deaths,0_mortality_rate,1_2_mortality_rate,3_mortality_rate,fatality_rate
52,52,0500000US01105,"Perry County, Alabama",Perry County,8349,1935,3334,3080,9293,12179.000000000027,69.00000000000001,0.03565891472868218,0.020695860827834436,0.022402597402597407,0.005665489777485825
53,53,0500000US01107,"Pickens County, Alabama",Pickens County,18216,4115,7662,6439,20243,16762.000000000015,499.99999999999983,0.12150668286755767,0.06525711302531974,0.07765180928715637,0.02982937596945468
54,54,0500000US01109,"Pike County, Alabama",Pike County,31132,9048,14258,7826,33333,30320.00000000001,252.00000000000003,0.02785145888594165,0.017674288118950766,0.03220035778175313,0.008311345646437993
55,55,0500000US01111,"Randolph County, Alabama",Randolph County,22498,7317,8321,6860,22647,18000.999999999993,824.9999999999999,0.1127511275112751,0.09914673717101309,0.12026239067055391,0.045830787178490096
56,56,0500000US01113,"Russell County, Alabama",Russell County,57670,18909,23747,15014,57952,38909.000000000015,10.000000000000002,0.0005288486963879635,0.00042110582389354455,0.000666045024643666,0.0002570099462849212
57,57,0500000US01115,"St. Clair County, Alabama",St. Clair County,88245,29080,39201,19964,87989,32568.000000000025,222.0,0.007634112792297112,0.005663120838754114,0.011120016028851933,0.006816507000736914
58,58,0500000US01117,"Shelby County, Alabama",Shelby County,215942,92124,86509,37309,213432,104539.99999999984,2174.0000000000005,0.023598627936259827,0.02513033326012323,0.05827012249055189,0.020795867610484062
59,59,0500000US01119,"Sumter County, Alabama",Sumter County,11680,2586,4552,4542,12797,22658.00000000001,882.0000000000001,0.34106728538283065,0.19376098418277682,0.1941875825627477,0.03892664842439755
60,60,0500000US01121,"Talladega County, Alabama",Talladega County,77874,21111,32746,24017,80387,26319.00000000001,534.0000000000001,0.025294869972999862,0.01630733524705308,0.022234250739059838,0.020289524677989283
61,61,0500000US01123,"Tallapoosa County, Alabama",Tallapoosa County,40221,10667,16669,12885,40541,51621.00000000006,6051.0,0.5672635230149058,0.3630091787149799,0.469615832363213,0.11721973615389072
62,62,0500000US01125,"Tuscaloosa County, Alabama",Tuscaloosa County,200924,70160,82045,48719,207305,148524.00000000012,2725.9999999999964,0.03885404789053586,0.03322566884027054,0.055953529423838674,0.018353936064205073
