,GEO_ID,County,State,POPUNI,zero_risk,one_two_risk,three_plus_risk,Total_Population_E,Cases,Deaths,Risk_Index,Risk_Cat,0_mortality_rate,1_2_mortality_rate,3_mortality_rate,fatality_rate,Above Average,Below Average,High,Low,Very high,Very low
346,0500000US12055,Highlands County,FL,105776,22222,48962,34592,103437,33015.000000000015,1176.0,90.6,High,0.052920529205292055,0.02401862669008619,0.03399629972247919,0.03562017264879599,0,0,1,0,0,0
347,0500000US12057,Hillsborough County,FL,1458048,506252,649541,302255,1422278,879039.0000000002,12188.999999999987,14.04,Low,0.024076941918254127,0.018765559064015953,0.04032687631304689,0.013866278970557602,0,0,0,1,0,0
348,0500000US12059,Holmes County,FL,18092,4271,7570,6251,19432,11212.999999999987,22.000000000000004,69.87,Above Average,0.005151018496839148,0.0029062087186261564,0.003519436890097585,0.0019620083831267303,1,0,0,0,0,0
349,0500000US12061,Indian River County,FL,159270,42851,72416,44003,153989,59778.99999999999,1497.9999999999998,62.17,Above Average,0.03495834402931086,0.020686036235086167,0.034043133422721174,0.025058967195838003,1,0,0,0,0,0
350,0500000US12063,Jackson County,FL,40622,10779,17660,12183,47945,38862.99999999998,348.00000000000006,84.87,High,0.03228499860840524,0.019705549263873162,0.028564393006648613,0.008954532588837718,0,0,1,0,0,0
351,0500000US12065,Jefferson County,FL,13114,3458,5229,4427,14161,5915.000000000002,345.00000000000017,79.93,Above Average,0.0997686524002314,0.06597819850831903,0.07793087869889319,0.05832628909551987,1,0,0,0,0,0
352,0500000US12067,Lafayette County,FL,7219,1662,3579,1978,8637,2658.0000000000014,3.0000000000000004,58.43,Above Average,0.001805054151624549,0.0008382229673093044,0.0015166835187057637,0.0011286681715575618,1,0,0,0,0,0
353,0500000US12069,Lake County,FL,364949,113091,166511,85347,345867,123809.00000000016,2146.0000000000005,68.02,Above Average,0.018975868990459013,0.01288803742695678,0.02514441046551139,0.017333150255635678,1,0,0,0,0,0
354,0500000US12071,Lee County,FL,765912,211447,367948,186517,737468,507554.9999999997,13801.000000000013,45.38,Below Average,0.06526931098573172,0.037508017437246605,0.07399325530648687,0.027191141846696458,0,1,0,0,0,0
355,0500000US12073,Leon County,FL,281240,102109,123486,55645,289770,115524.00000000016,756.0000000000002,13.24,Low,0.007403852745595395,0.006122151498955349,0.013586126336598081,0.0065440947335618505,0,0,0,1,0,0
356,0500000US12075,Levy County,FL,41380,9565,19689,12126,40403,14713.000000000007,87.0,77.48,Above Average,0.00909566126502875,0.0044187109553557825,0.007174666006927264,0.005913138041188062,1,0,0,0,0,0
357,0500000US12077,Liberty County,FL,6358,2039,2527,1792,8345,20844.999999999967,72.99999999999999,73.09,Above Average,0.035801863658656195,0.028888009497427775,0.04073660714285714,0.003502038858239391,1,0,0,0,0,0
358,0500000US12079,Madison County,FL,16705,3371,8059,5275,18460,18211.99999999997,336.99999999999994,89.3,High,0.09997033521210322,0.0418166025561484,0.0638862559241706,0.01850428289040196,0,0,1,0,0,0
359,0500000US12081,Manatee County,FL,401548,113602,187395,100551,384213,266196.99999999977,11161.999999999993,43.15,Below Average,0.09825531240647166,0.05956402251927742,0.11100834402442535,0.04193135159299317,0,1,0,0,0,0
360,0500000US12083,Marion County,FL,358082,99066,165513,93503,353526,90315.00000000006,1333.000000000001,76.06,Above Average,0.013455676013970493,0.008053748043960298,0.014256227072928151,0.014759453025521785,1,0,0,0,0,0
361,0500000US12085,Martin County,FL,158362,47628,72092,38642,159065,144129.99999999988,2299.0,28.36,Below Average,0.048269925254052236,0.03188980746823503,0.05949485016303504,0.01595087767987235,0,1,0,0,0,0
362,0500000US12086,Miami-Dade County,FL,2691583,627776,1302472,761335,2699428,3809960.9999999967,85259.00000000001,9.22,Low,0.13581118105821188,0.06545937263910473,0.11198618216685166,0.022377919354030155,0,0,0,1,0,0
363,0500000US12087,Monroe County,FL,73755,19339,35641,18775,75798,32488.999999999935,478.0000000000002,13.45,Low,0.024716893324370454,0.01341152043994277,0.02545938748335554,0.01471267198128601,0,0,0,1,0,0
364,0500000US12089,Nassau County,FL,88426,28284,39463,20679,83098,26126.00000000001,190.0,43.15,Below Average,0.006717578843162212,0.004814636494944632,0.00918806518690459,0.0072724489014774525,0,1,0,0,0,0
